1000 0.000326019
1500 0.000453187
2000 0.000628627
2500 0.000896055
3000 0.000906887
3500 0.000781912
4000 0.000675018
4500 0.000770883
5000 0.00066779
5500 0.000946207
6000 0.000682674
6500 0.000743378
7000 0.00069113
7500 0.000751058
8000 0.000706726
8500 0.000751607
9000 0.000745764
9500 0.000735612
10000 0.000813324
10500 0.000733959
11000 0.000771294
11500 0.000805933
12000 0.000833818
12500 0.000873691
13000 0.000923217
13500 0.000967501
14000 0.000984939
14500 0.00105692
15000 0.00106786
15500 0.00111614
16000 0.00118709
16500 0.00117203
17000 0.00122033
17500 0.00131669
18000 0.00137981
18500 0.0017441
19000 0.00138251
19500 0.00146209
20000 0.00148069
20500 0.00158156
21000 0.00150698
21500 0.00154932
22000 0.00198058
22500 0.00175934
23000 0.00166068
23500 0.00168013
24000 0.00176308
24500 0.00178571
25000 0.00184948
25500 0.00204713
26000 0.00201186
26500 0.0019697
27000 0.00201524
27500 0.00205569
28000 0.00213379
28500 0.00209358
